Eu estou comendo queijo.	Eu comi o queijo.
Eu comi o queijo.	Estou comendo queijo.
É segunda.	Hoje é segunda-feira.
É segunda-feira.	Hoje é segunda-feira.
Hoje é segunda.	Hoje é segunda-feira.
Onde é a biblioteca?	Onde se encontra a biblioteca?
Onde fica a biblioteca?	Onde se encontra a biblioteca?
Você fala inglês?	Você não sabe falar inglês?
Você fala inglês?	Ela fala inglês?
Você fala inglês?	Ele pode falar inglês?
Você fala inglês?	Você fala inglês fluentemente?
Você fala inglês?	Ele fala inglês?
Você fala inglês?	Falas inglês?
Você fala inglês?	Será que ele fala inglês?
Você fala inglês?	Eles estão falando em inglês?
Você fala inglês?	Você está falando inglês?
Você fala inglês?	Vocês estão falando inglês?
Acho que estou apenas cansado.	Estou meio cansada.
Acho que estou apenas cansado.	Estou um pouco cansada.
Acho que estou apenas cansado.	Estou meio cansado.
Acho que estou apenas cansado.	Estou um pouco cansado.
Acho que estou apenas cansado.	Estou um pouquinho cansado.
Acho que estou apenas cansado.	Estou me sentindo um pouco cansado.
Acho que estou apenas cansado.	Estou me sentindo meio cansado.
Acho que estou apenas cansado.	Eu me sinto meio cansado.
Meu irmão pequeno está vendo televisão.	Meu irmão caçula está assistido à televisão.
Meu irmão pequeno está vendo televisão.	Meu irmão caçula está vendo televisão.
Meu irmão mais novo está assistindo à TV.	Meu irmão pequeno está vendo televisão.
Meu irmão vê televisão.	Meu irmão pequeno está vendo televisão.
Meu irmão pequeno está vendo televisão.	O meu irmãozinho está assistindo televisão.
O meu irmão mais velho está vendo TV.	Meu irmão pequeno está vendo televisão.
Meu irmão está vendo televisão.	Meu irmão pequeno está vendo televisão.
Ele não quis dizer mais nada sobre isso.	Ela se recusou a falar mais sobre aquele assunto.
Ela se recusa a dizer mais.	Ele não quis dizer mais nada sobre isso.
Nem tenho tempo para ler.	Não tenho tempo nenhum para ler.
A primavera chegou.	Em breve será primavera.
A primavera começou.	Em breve será primavera.
A primavera voltou.	Em breve será primavera.
Em breve será primavera.	A primavera está vindo logo.
Em breve será primavera.	Logo será primavera.
A primavera está chegando.	Em breve será primavera.
Em breve será primavera.	A primavera logo chegará.
Em breve será primavera.	A primavera vai chegar logo.
Em breve será primavera.	Primavera chegou.
Em breve será primavera.	A primavera está aproximando-se.
Em breve será primavera.	A primavera se aproxima.
É primavera.	Em breve será primavera.
Em breve será primavera.	A primavera vai chegar em pouco tempo.
Você já foi para o México?	O senhor já foi ao México?
Por favor, diga a verdade.	Por favor, conte a verdade.
Por que que ela parecia tão triste?	Por que então você está com tanta raiva?
Por que então você está com tanta raiva?	O que a fez ficar com tanta raiva?
Por que estão tão tristes?	Por que então você está com tanta raiva?
Por que está tão triste?	Por que então você está com tanta raiva?
Por que então você está com tanta raiva?	Por que estás tão triste?
Por que você está com um ar tão triste?	Por que então você está com tanta raiva?
O que te deixa tão triste?	Por que então você está com tanta raiva?
Por que essa cara tão séria?	Por que então você está com tanta raiva?
Por que você está bravo?	Por que então você está com tanta raiva?
Por que estás triste?	Por que então você está com tanta raiva?
Por que vocês estão bravos?	Por que então você está com tanta raiva?
Por que você lamenta?	Por que então você está com tanta raiva?
Por que então você está com tanta raiva?	Por que você está ficando perturbado?
Você está triste por quê?	Por que então você está com tanta raiva?
Por que ele está com raiva?	Por que então você está com tanta raiva?
Por que ele está zangado?	Por que então você está com tanta raiva?
Por que ela está com raiva?	Por que então você está com tanta raiva?
Por que então você está com tanta raiva?	Ela está zangada por quê?
Por que eles estão com raiva?	Por que então você está com tanta raiva?
Por que então você está com tanta raiva?	Eles estão zangados por quê?
Por que você está com medo?	Por que então você está com tanta raiva?
Por causa de que você está tão nervoso?	Por que então você está com tanta raiva?
Porque tens medo?	Por que então você está com tanta raiva?
Por que você tem medo?	Por que então você está com tanta raiva?
Eu adoro essa loja.	Eu gosto desta loja.
Onde é o banco?	Onde fica o banco?
Onde está a escola?	Onde fica a escola?
Todos os gatos são cinza no escuro.	Quando a noite vela, todas as cores se igualam.
De noite todos os gatos são cinza.	Todos os gatos são cinza no escuro.
O que facilmente se ganha, facilmente se perde.	Adquirido ilegalmente não é proveitoso.
O que vem fácil, vai fácil.	Adquirido ilegalmente não é proveitoso.
Quando o gato sai, os ratos fazem a festa.	Quando o gato passeia, os ratos se banqueteiam.
Quando o gato sai, o rato dança.	Quando o gato passeia, os ratos se banqueteiam.
Este é o lugar perfeito.	Este é o local perfeito.
Este é um ótimo lugar.	Este é o local perfeito.
Esse lugar é perfeito.	Este é o local perfeito.
Esse lugar é grande.	Este é o local perfeito.
Não dói.	Não sou estúpido.
Eu não sou um idiota.	Não sou estúpido.
Não estou louco.	Não sou estúpido.
Não sou louco.	Não sou estúpido.
Eu não sou louco.	Não sou estúpido.
Eu não estou doente.	Não sou estúpido.
Não sou estúpido.	Não sou estúpida.
Eu não sou burro.	Não sou estúpido.
Eu não sou idiota.	Não sou estúpido.
Não sou idiota.	Não sou estúpido.
Não sou estúpido.	Isso não machuca.
Não sou estúpido.	Eu não sou tão burro.
Não sou estúpido.	Não vai doer.
Ele não está doente.	Não sou estúpido.
Não sou estúpido.	Eu não sou estúpido.
Não sou estúpido.	Eu não sou otária.
Não sou estúpido.	Eu não sou otário.
Não sou estúpido.	Ele não está enfermo.
Não sou tão louco.	Não sou estúpido.
Berlim é a capital da Alemanha.	Berlim é a capital alemã.
Eu te vi ontem.	Ontem eu a vi.
Eu a vi ontem.	Ontem eu a vi.
Eu o vi ontem.	Ontem eu a vi.
Ele sabe japonês.	Eu não falo japonês.
Eu não falo japonês.	Ele é fluente em japonês.
Ele fala inglês.	Eu não falo japonês.
Eu não falo japonês.	Ele sabe falar japonês.
Não sei falar japonês.	Eu não falo japonês.
Ele está falando inglês.	Eu não falo japonês.
Ele fala japonês.	Eu não falo japonês.
Ela pode falar japonês.	Eu não falo japonês.
Ele sabe inglês.	Eu não falo japonês.
Eu não falo japonês.	Ele conhece a língua inglesa.
O cachorro está morrendo.	O cachorro está quase morto.
O cão está a morrer.	O cachorro está quase morto.
O cachorro está para morrer.	O cachorro está quase morto.
O cachorro está morto.	O cachorro está quase morto.
O cachorro está sem vida.	O cachorro está quase morto.
O cachorro estava morto.	O cachorro está quase morto.
O cachorro tinha morrido.	O cachorro está quase morto.
O cachorro está quase morto.	O cachorro morrera.
O cachorro morreu.	O cachorro está quase morto.
Quero dançar.	Eu gostaria de dançar.
Quero dançar.	Eu estou com vontade de dançar.
Estou muito cansado para correr.	Estou cansado demais para correr.
Você viu minhas chaves?	Viste meu molho de chaves?
Você sabe onde está a minha chave?	Viste meu molho de chaves?
Você viu as minhas chaves?	Viste meu molho de chaves?
Eu não o vi.	Eu não conseguia ver.
Eu não o vi.	Não o tinha visto.
Ela é minha namorada.	Tu és meu amigo.
Ela é minha namorada.	Ela é amiga minha.
Ela é minha namorada.	Ela é uma de minhas amigas.
Ele é meu amigo.	Ela é minha namorada.
Esta é minha filha.	Ela é minha namorada.
É meu amigo.	Ela é minha namorada.
É um amigo meu.	Ela é minha namorada.
Ela é a minha filha.	Ela é minha namorada.
Ela é minha namorada.	Tu és minha amiga.
Você é minha amiga.	Ela é minha namorada.
Você é a minha namorada.	Ela é minha namorada.
Esse é o meu amigo.	Ela é minha namorada.
Ela é minha namorada.	Ela é minha sócia.
Não sei quem é esse homem.	Eu não sei quem é o homem.
Meu irmão vive em Tóquio.	Meu irmão mora em Tóquio.
Não fala bem francês.	Não falo francês bem o suficiente!
Não fala bem francês.	Ele não sabia falar bem francês.
Não fala bem francês.	Eu não falo bem o francês.
Não fala bem francês.	Eu não sei falar francês muito bem.
O meu filho ainda acredita em Papai Noel.	Meu filho acredita em Papai Noel.
Era muito bonito.	Aquilo foi muito legal.
Foi muito legal.	Era muito bonito.
Está a 50 quilômetros de Paris.	São quinze quilômetros até Paris.
O povo somos nós.	Somos o povo.
Eu sou capaz de nadar até o outro lado do rio.	Eu posso atravessar o rio nadando.
Quanto tempo você ficou?	Por quanto tempo ficaste?
Por quanto tempo ficaste?	Você planeja ficar quantos dias?
Você vai ficar aqui por quanto tempo?	Por quanto tempo ficaste?
Quanto tempo pretende ficar?	Por quanto tempo ficaste?
Quanto tempo você pretende ficar aqui?	Por quanto tempo ficaste?
Por quanto tempo ficaste?	Quanto tempo vais ficar aqui?
Vai ficar por quanto tempo?	Por quanto tempo ficaste?
Por quanto tempo você vai ficar?	Por quanto tempo ficaste?
Por quanto tempo vocês vão ficar?	Por quanto tempo ficaste?
Quanto tempo você ficará aqui?	Por quanto tempo ficaste?
Quanto tempo você vai ficar aqui?	Por quanto tempo ficaste?
Por quanto tempo vai ficar aqui?	Por quanto tempo ficaste?
Durante quanto tempo vocês estiveram aí?	Por quanto tempo ficaste?
Desde quando você está aqui?	Por quanto tempo ficaste?
Por quanto tempo você estará aqui?	Por quanto tempo ficaste?
Por quanto tempo você gostaria de ficar?	Por quanto tempo ficaste?
Por quanto tempo vocês gostariam de ficar?	Por quanto tempo ficaste?
Até quando você irá ficar?	Por quanto tempo ficaste?
Há quanto tempo você está aqui?	Por quanto tempo ficaste?
Por que você ficou tanto tempo lá?	Por quanto tempo ficaste?
Por quanto tempo ficaste?	Por que ficaste tanto tempo lá?
Quanto tempo vocês ficaram?	Por quanto tempo ficaste?
Por quanto tempo ficaste?	Quanto tempo vós ainda ficastes?
Quanto tempo o senhor ficou?	Por quanto tempo ficaste?
Quanto tempo a senhora ainda ficou?	Por quanto tempo ficaste?
Por quanto tempo ficaste?	Quanto tempo os senhores ficaram?
Por quanto tempo ficaste?	Quanto tempo as senhoras ainda ficaram?
A Maria é a mulher do Tom.	Mary é a esposa de Tom.
A França está na Europa Ocidental.	A França fica na Europa Ocidental.
A França está na Europa Ocidental.	A França fica no leste europeu.
A minha saia é longa demais.	Minha saia é larga demais.
Eu sou vegetariano.	Sou vegetariano.
Eu nunca como carne.	Sou vegetariano.
Sou vegetariano.	Sou vegetariana.
Eu sou vegetariana.	Sou vegetariano.
Eu não como carne.	Sou vegetariano.
Sou vegetariano.	Sou uma vegetariana.
Não como carne.	Sou vegetariano.
Eu sou vegano.	Sou vegetariano.
Eu sou vegana.	Sou vegetariano.
Sou vegetariano.	Sou vegano.
Dê-me a conta, por favor.	Por favor, traga-me a conta.
Eu poderia ter a conta por favor?	Por favor, traga-me a conta.
Por favor, traga-me a conta.	Por gentileza, o senhor poderia me trazer a conta?
Pode me trazer a conta, por favor?	Por favor, traga-me a conta.
Como está sua irmã?	Como anda a sua irmã?
Como está sua irmã?	Como está a sua irmãzinha?
Como está sua irmã?	Como vai sua irmãzinha?
As pessoas adoram falar.	As pessoas adoram falar, falar e falar.
As pessoas amam conversar.	As pessoas adoram falar, falar e falar.
Esta canção lembra-me minha infância.	Eu lembro da minha juventude quando ouço essa música.
Esta canção lembra-me minha infância.	Esta canção me lembra a minha juventude.
O que é aquele prédio?	Que prédio é esse?
Espere até a luz mudar para o verde.	Espere o semáforo ficar verde.
Espere o semáforo ficar verde.	Espere até que a luz do semáforo mude para verde.
Hoje está muito quente.	Está bem quente hoje.
Hoje está muito quente.	Está quente hoje.
Hoje está muito quente.	Hoje está fazendo um calor horrível.
Hoje está muito quente.	Hoje faz muito calor.
Hoje está muito quente.	Hoje está muito calor.
Hoje está muito quente.	Não está quente hoje, está?
Hoje está muito quente.	Está calor hoje, não está?
Hoje está muito quente.	Hoje está meio quente.
Hoje está muito quente.	Hoje o calor está terrível.
É um dia quente.	Hoje está muito quente.
É um dia de calor.	Hoje está muito quente.
Hoje está muito quente.	Está muito quente hoje.
Hoje está muito quente.	Faz muito calor hoje.
Hoje está muito quente.	Está bastante quente hoje.
Hoje está muito quente.	Hoje faz calor!
Hoje está muito quente.	Hoje está calor.
Minha pele é seca.	Tenho a pele seca.
Ela gritou por ajuda.	Ele gritou alto pedindo ajuda.
Ela gritou por ajuda.	Ela gritou pedindo ajuda.
Ela chamou ajuda.	Ela gritou por ajuda.
Ela pediu socorro.	Ela gritou por ajuda.
Eles estão de bem com seus vizinhos.	Eles se dão bem com os vizinhos.
Eles estão de bem com seus vizinhos.	Eles tinham boas relações com seus vizinhos.
Eles estão de bem com seus vizinhos.	Eles têm boas relações com os vizinhos.
O cachorro é meu.	O cão é meu.
O cachorro é meu.	Esse é meu cachorro.
O cachorro é meu.	Este é o meu cachorro.
Você é viciado em trabalho.	Você trabalha muito intensamente.
Você se dedica demais ao trabalho.	Você trabalha muito intensamente.
Você dá muito duro no trabalho.	Você trabalha muito intensamente.
Você trabalha muito intensamente.	Eles trabalham duro.
Você trabalha demais.	Você trabalha muito intensamente.
Eles trabalham demais.	Você trabalha muito intensamente.
Elas trabalham demais.	Você trabalha muito intensamente.
Trabalham demais.	Você trabalha muito intensamente.
Vocês trabalham demais.	Você trabalha muito intensamente.
Você está trabalhando demais.	Você trabalha muito intensamente.
Ele decidiu ser médico.	Ela decidiu virar médica.
O elevador está fora de serviço hoje.	Hoje, o elevador está fora de serviço.
Não fume demais.	Por favor, não fume muito.
Não fume muito.	Por favor, não fume muito.
Por alguma razão, eu me sinto mais vivo de noite.	Por alguma razão eu me sinto mais bem disposto à noite.
Você abre a porta?	Abra.
Você abre a porta?	Abra a porta.
Você abre a porta?	Abram a porta.
Você abre a porta?	Abre a porta.
Você abre a porta?	Ele abriu a porta.
Você abre a porta?	Por favor, abra a porta.
Você abre a porta?	Abra esta porta.
Você abre a porta?	Destranque a porta.
Você abre a porta?	Destranquem a porta.
Você abre a porta?	Abre o portão.
Você abre a porta?	Abra as portas.
Você abre a porta?	Abram esta porta.
Você abre a porta?	Abre as portas.
Você abre a porta?	Abri as portas.
Você abre a porta?	Abram!
Abre!	Você abre a porta?
Você abre a porta?	Abri!
A tua bicicleta é melhor que a minha.	Tua bicicleta é melhor do que a minha.
Havia muito vento.	Ventava muito.
Estava ventando muito.	Ventava muito.
Você está grávida.	Você está gestante.
Eu nunca ouvi ele cantar.	Nunca a ouvi cantar.
Você gosta de quais esportes?	Qual é o seu esporte favorito?
De quais esportes você gosta?	Qual é o seu esporte favorito?
Qual é o seu esporte favorito?	Quais esportes você curte?
De quais esportes vocês gostam?	Qual é o seu esporte favorito?
De qual esporte você gosta mais?	Qual é o seu esporte favorito?
De qual esporte gostas mais?	Qual é o seu esporte favorito?
De qual esporte vocês gostam mais?	Qual é o seu esporte favorito?
Qual é o seu esporte favorito?	Qual esporte vocês preferem?
Ela toca piano.	Ela sabe tocar piano.
Ele toca piano.	Ela toca piano.
Ele estava usando uma roupa surrada.	Ele estava usando um terno surrado.
Você crê que os animais tenham alma?	Vocês acham que os animais têm alma?
Quantos anos você dá para ela?	Quantos anos você julga que ela tem?
Que idade achas que ela tem?	Quantos anos você dá para ela?
Que idade acha que ela tem?	Quantos anos você dá para ela?
Tem medo do cachorro.	Ele tem medo desse cachorro.
Tem medo do cachorro.	Ele está com medo do cachorro.
Tem medo do cachorro.	Ele tem medo de cachorro.
Tem medo do cachorro.	Ela tem medo de cachorros.
Esperei por ela por muito tempo.	Eu esperei por ela por um tempo muito longo.
Esperei muito tempo por ela.	Eu esperei por ela por um tempo muito longo.
Eu esperei por ela a vida toda.	Eu esperei por ela por um tempo muito longo.
Queria que você estivesse perto de mim.	Quem dera que você estivesse junto a mim.
Queria que você estivesse perto de mim.	Se ao menos estivesses perto de mim.
O dizer e o fazer não são a mesma coisa.	Dizer e fazer não é a mesma coisa.
Dizer e fazer não é a mesma coisa.	É fácil dizer, mas difícil fazer.
Dizer e fazer não é a mesma coisa.	Uma promessa não é suficiente.
Uma promessa não é o bastante.	Dizer e fazer não é a mesma coisa.
Dizer e fazer não é a mesma coisa.	Não basta prometer.
É mais fácil falar do que fazer.	Dizer e fazer não é a mesma coisa.
Dizer e fazer não é a mesma coisa.	É fácil de dizer, mas não é fácil de fazer.
Dizer e fazer não é a mesma coisa.	Falar é facil, difícil é fazer.
Falar não é o mesmo que fazer.	Dizer e fazer não é a mesma coisa.
Dizer e fazer não é a mesma coisa.	É fácil prometer. Difícil é cumprir.
Dizer e fazer não é a mesma coisa.	Promessas não são o suficiente.
É divertido jogar tênis.	Jogar tênis é divertido.
Deixe-me ir com você.	Permita que eu o acompanhe.
Com licença, posso abrir a janela?	Desculpe-me! Posso abrir a janela?
Com licença, posso abrir a janela?	Com licença, mas eu poderia abria a janela?
Posso fazer isso se você deixar.	Posso fazer isso se vocês deixarem.
Ela lê o jornal toda manhã.	Ele lê o jornal todas as manhãs.
Essa história é muito famosa, todos a conhecem.	Esta história é muito famosa, todo mundo a conhece.
Você não nos conhece.	Eles não nos conhecem.
Não quero ser visto com ele.	Não quero que me vejam com ele.
Estou preocupado com a sua saúde.	Eu estou muito preocupado com a situação da tua saúde.
Sabemos que ela nasceu no Canadá.	Sabemos do fato dele ter nascido no Canadá.
Aqui está uma carta para você.	Eis uma carta para ti.
Todos dizem que fui muito valente, mas só fiz o meu trabalho.	Todos me chamaram de corajoso, mas eu apenas fiz meu trabalho.
Ela acorda cedo.	Ele está acostumado a se levantar cedo.
Ela acorda cedo.	Ela geralmente se levanta cedo.
Ela acorda cedo.	Ela está acostumada a levantar cedo.
Ela acorda cedo.	Ela costumava levantar-se cedo.
